relationshipId,family,relationshipClass,fromParticipant,toParticipant,direction,condition,historicalClaim,sourceId,lineageId,sourcePassageChinese,translation,juan,section,folio,sectionLocatorStatus,folioLocatorStatus,citationStatus,evidenceStrength,textualLayer,disagreementId,prohibitedForUserInference,notes,historicalRuntimeCeiling,passageIds
four-rivers-membership-renlun-xue,fourRivers,ANATOMICAL_MAPPING,fourRivers,ear-eye-mouth-nose,none,none,ear=Jiang mouth=He eye=Huai nose=Ji,renlun-datongfu,xue-yannian,四瀆者耳為江口為河眼為淮鼻為濟,The Four Watercourses: ear=Jiang mouth=He eye=Huai nose=Ji,卷上,四瀆,KR3g0046_WYG_001-10b,VERIFIED,VERIFIED,PINNED_COMMIT,VERIFIED_PRIMARY,xue-yannian-commentary,four-rivers-eye-mouth,false,Yuan commentary layer; agrees with both base-text witnesses,ELIGIBLE,rl-j1-sidu
four-rivers-membership-mayi,fourRivers,DISAGREEMENT,fourRivers,ear-eye-mouth-nose,none,none,ear=Jiang eye=He(Yellow) mouth=Huai nose=Ji,mayi-shenxiang,mayi,NOT_RETRIEVED,eye=Yellow River and mouth=Huai (swapped relative to the pinned bloc),unknown,四瀆,null,NOT_LOCATED,NOT_LOCATED,NO_INSPECTABLE_WITNESS,RECORDED_NOT_VERIFIED,unknown,four-rivers-eye-mouth,false,DOWNGRADED from prior atlas; no primary or early witness obtained; do not harmonise do not delete,HISTORICAL_EVIDENCE_ONLY,
four-rivers-mutual-facing-taiqing,fourRivers,MUTUAL_RELATION,fourRivers,fourRivers,reciprocal,none,earth's four watercourses mutually face so as to join their flow,taiqing-shenjian,taiqing,地之四瀆者所以相朝以接其流通,Earth's Four Watercourses mutually face one another so as to join their flow,卷二,四瀆,KR3g0045_WYG_002-18a,VERIFIED,VERIFIED,PINNED_COMMIT,VERIFIED_PRIMARY,base-text,none,false,NEW: 相朝 is not a mountains-only predicate; prior dossier missed this,ELIGIBLE,tq-j2-sidu
four-rivers-answer-to-shen-taiqing,fourRivers,DIRECTED_RELATION,fourRivers,shen,directed,rivers upright clear large bright clean flowing with formed banks,well-formed watercourses answer to Shen,taiqing-shenjian,taiqing,故四瀆欲得端直清大眀浄流暢涯岸成就者則應於神故貴而多智也,Thus the Four Watercourses should be upright clear large bright clean and flowing with formed banks; then they answer to Shen hence noble and of much wit,卷二,四瀆,KR3g0045_WYG_002-18a,VERIFIED,VERIFIED,PINNED_COMMIT,VERIFIED_PRIMARY,base-text,none,true,an EXPLICIT textual relation between a facial system and Shen; 貴/多智 are rank and character predicates,PRODUCT_DECISION_REQUIRED,tq-j2-sidu
mountains-rivers-joint-eval-yuebo,crossSystem,SEQUENCE,fiveMountains,fourRivers,none,none,peaks should face and rivers should not be muddled evaluated in one clause,yuebo-dongzhongji,yuebo,五嶽欲其相朝四瀆欲其不混形神備足富貴之相,The Five Peaks should mutually face and the Four Watercourses should not be muddled; form and Shen complete a physiognomy of wealth and rank,卷上,河嶽,KR3g0043_WYG_001-5a,VERIFIED,VERIFIED,PINNED_COMMIT,VERIFIED_PRIMARY,base-text,none,true,genuine joint evaluation; 富貴 predicate present,PRODUCT_DECISION_REQUIRED,yb-j1-heyue
mountains-rivers-correspondence-taiqing,crossSystem,MUTUAL_RELATION,fiveMountains,fourRivers,reciprocal,none,the Five Peaks and Four Watercourses must correspond to one another,taiqing-shenjian,taiqing,須辨三停端不端五嶽四瀆要相應,One must discern whether the three sections are upright; the Five Peaks and Four Watercourses must correspond,卷一,相法妙訣,KR3g0045_WYG_001-6b,VERIFIED,VERIFIED,PINNED_COMMIT,VERIFIED_PRIMARY,base-text,none,false,NEW: 相應 correspondence predicate distinct from 相朝; also co-locates 三停 with the pair,ELIGIBLE,tq-j1-miaojue-xiangying
mountains-rivers-contrast-yuebo,crossSystem,CONTRAST,fiveMountains,fourRivers,none,none,what rises high is a peak what is deep and substantial is a watercourse; peaks want form rivers want clarity,yuebo-dongzhongji,yuebo,髙成曰嶽深厚曰瀆嶽欲成而瀆欲清,What rises high is called a peak; what is deep and substantial is called a watercourse. Peaks should be well-formed and watercourses should be clear,卷上,河嶽,KR3g0043_WYG_001-5b,VERIFIED,VERIFIED,PINNED_COMMIT,VERIFIED_PRIMARY,base-text,none,false,explicit definitional contrast between the two systems,ELIGIBLE,yb-j1-heyue
five-officers-membership-taiqing,fiveOfficers,MEMBERSHIP,fiveOfficers,eye-nose-mouth-ear-eyebrow,none,none,eye=jian(inspect) nose=shenbian mouth=chuna ear=caiting eyebrow=baoshou,taiqing-shenjian,taiqing,五官者目為鑒察官鼻為審辨官口為出納官耳為採聽官眉為保夀官,The Five Officers: eye=Inspecting nose=Discriminating mouth=Intake-and-Issue ear=Gathering-Listening eyebrow=Longevity-Preserving,卷二,五官,KR3g0045_WYG_002-18b,VERIFIED,VERIFIED,PINNED_COMMIT,VERIFIED_PRIMARY,base-text,five-officers-titles,false,鑒察官 not 監察官; 保夀官 not 保壽官; no 舌; characters not normalised,ELIGIBLE,tq-j2-wuguan
five-officers-membership-renlun-xue,fiveOfficers,MEMBERSHIP,fiveOfficers,mouth-nose-ear-eye-philtrum,none,none,1 mouth 2 nose 3 ear 4 eye 5 philtrum; eye=jian(supervise) ear=shenting nose=xiuchou mouth=chuna philtrum=baoshou,renlun-datongfu,xue-yannian,五官者一口二鼻三耳四目五人中欲其明而端正不宜孤露偏斜　眼為監察官耳為審聽官鼻為嗅臭官口為出納官人中為保夀官,The Five Officers: first mouth second nose third ear fourth eye fifth philtrum; they should be bright and upright not solitary exposed lopsided or slanting. Eye=Supervising-Inspecting ear=Examining-Listening nose=Smelling mouth=Intake-and-Issue philtrum=Longevity-Preserving,卷上,五官,KR3g0046_WYG_001-11a,VERIFIED,VERIFIED,PINNED_COMMIT,VERIFIED_PRIMARY,xue-yannian-commentary,five-officers-titles,false,FOUR of five titles differ from Taiqing not just the fifth member; ordered enumeration,ELIGIBLE,rl-j1-wuguan
five-officers-one-official-ten-years-taiqing,fiveOfficers,DIRECTED_RELATION,oneOfficer,rank-ten-years,directed,one officer well-formed,one good officer yields ten years of rank; defect or ugliness yields ill fortune,taiqing-shenjian,taiqing,或一官好則貴十年或有缺陷者及醜惡者㐫,If one officer is good then ten years of rank; if any is defective or ugly then ill fortune,卷二,五官,KR3g0045_WYG_002-18b,VERIFIED,VERIFIED,PINNED_COMMIT,VERIFIED_PRIMARY,base-text,none,true,rank and duration prediction,PRODUCT_DECISION_REQUIRED,tq-j2-wuguan
five-officers-xunzi-gloss-renlun,fiveOfficers,IDENTITY,guan-officer,superintend-discern,none,none,the term 'officer' glossed via the Xunzi commentary as to superintend and to discern,renlun-datongfu,xue-yannian,五官(荀子注司主也又識也),The Five Officers [gloss: per the commentary on Xunzi 'officer' means to superintend also to discern],卷上,五官,KR3g0046_WYG_001-11a,VERIFIED,VERIFIED,PINNED_COMMIT,VERIFIED_PRIMARY,xue-yannian-commentary,none,false,explicit intertextual citation of the Xunzi commentary tradition,ELIGIBLE,rl-j1-wuguan
facial-three-sections-boundaries-taiqing,threeSections,ANATOMICAL_MAPPING,facialThreeSections,hairline-brow-nosetip-jaw,none,none,upper=hairline to between brows; middle=between brows to nose tip; lower=tip and philtrum to cheeks/jaw,taiqing-shenjian,taiqing,靣之三停自髪際下至眉間為上停自眉間至鼻凖為中停自凖人中至頰為下停,The face's three sections: hairline to between the brows is upper; between the brows to the nose tip is middle; from the tip and philtrum to the cheeks is lower,卷五,論靣部,KR3g0045_WYG_005-7b,VERIFIED,VERIFIED,PINNED_COMMIT,VERIFIED_PRIMARY,base-text,none,false,NEW: REFUTES prior claim that facial thirds has no Siku witness; FACIAL domain distinct from 卷六 body,ELIGIBLE,tq-j5-mianbu-santing
facial-three-sections-sancai-taiqing,threeSections,CORRESPONDENCE,facialThreeSections,three-powers,none,none,the three sections image the Three Powers: upper heaven middle man lower earth,taiqing-shenjian,taiqing,夫三停者以像三才也上像天中像人下像地,The three sections image the Three Powers: upper images heaven middle images man lower images earth,卷五,論靣部,KR3g0045_WYG_005-7b,VERIFIED,VERIFIED,PINNED_COMMIT,VERIFIED_PRIMARY,base-text,none,false,cosmological correspondence with no predictive claim attached in this clause,ELIGIBLE,tq-j5-mianbu-santing
facial-three-sections-predicates-taiqing,threeSections,DIRECTED_RELATION,facialThreeSections,rank-longevity-wealth,directed,per-section form conditions,upper governs rank middle governs longevity lower governs wealth,taiqing-shenjian,taiqing,上停長而豐隆方而廣濶者主貴中停隆而凖峻而静者主壽也下停方而滿端而厚者主富也,An upper section long full square and broad governs rank; a middle section full with the tip steep and composed governs longevity; a lower section square full upright and thick governs wealth,卷五,論靣部,KR3g0045_WYG_005-7b,VERIFIED,VERIFIED,PINNED_COMMIT,VERIFIED_PRIMARY,base-text,none,true,rank longevity and wealth predicates all present,PRODUCT_DECISION_REQUIRED,tq-j5-mianbu-santing
facial-three-sections-proportion-taiqing,threeSections,CONDITION,facialThreeSections,proportion,none,all three proportionate,when all three sections are proportionate this is a superior physiognomy,taiqing-shenjian,taiqing,三停皆稱乃上相之人矣,When all three sections are proportionate this is a person of superior physiognomy,卷五,論靣部,KR3g0045_WYG_005-8a,VERIFIED,VERIFIED,PINNED_COMMIT,VERIFIED_PRIMARY,base-text,three-sections-predicate,true,稱 family not 平等; facial domain,PRODUCT_DECISION_REQUIRED,tq-j5-mianbu-santing
body-three-sections-ranked-taiqing,threeSections,DIRECTED_RELATION,bodyThreeSections,fortune-rank,directed,which section is longest,upper long great auspiciousness; middle long near the sovereign; lower long common and wandering,taiqing-shenjian,taiqing,上停長者大吉昌中停長者近君王下停長者皆庸俗逺走他方主不良,Upper long: great auspiciousness. Middle long: near the sovereign. Lower long: all common and vulgar travelling far portending ill,卷六,三停,KR3g0045_WYG_006-6a,VERIFIED,VERIFIED,PINNED_COMMIT,VERIFIED_PRIMARY,base-text,three-sections-predicate,true,BODY sections; differential-ranked; MUST NOT be merged with the 卷五 facial rows,PRODUCT_DECISION_REQUIRED,tq-j6-shen-santing
body-three-sections-proportion-taiqing,threeSections,QUALIFICATION,bodyThreeSections,proportion,none,proportionate and evenly substantial,also said: proportionate body thirds indicate wealth and rank,taiqing-shenjian,taiqing,又云身三停相稱及上下匀稠則為富貴之人也,It is also said: if the body's three sections are proportionate and upper and lower evenly substantial this is a person of wealth and rank,卷六,三停,KR3g0045_WYG_006-6b,VERIFIED,VERIFIED,PINNED_COMMIT,VERIFIED_PRIMARY,base-text-secondary-layer,three-sections-predicate,true,又云 marks a secondary layer inside the base text; 相稱 not 平等; explicitly 身三停,PRODUCT_DECISION_REQUIRED,tq-j6-shen-santing
three-sections-proportion-shuoge-taiqing,threeSections,QUALIFICATION,threeSections,proportion,none,none,the three sections broadly seek proportion,taiqing-shenjian,taiqing,不露不麄不枯槁三停大體求相稱,Not exposed not coarse not withered; the three sections broadly seek proportion,卷一,說歌,KR3g0045_WYG_001-2a,VERIFIED,VERIFIED,PINNED_COMMIT,VERIFIED_PRIMARY,base-text-verse,three-sections-predicate,false,domain unspecified in this verse; third internal witness to the 相稱 predicate,ELIGIBLE,tq-j1-shuoge-xiangcheng
three-sections-equality-yuguan,threeSections,CONDITION,threeSections,equality,none,none,the three sections equal and able to be harmonious and beautiful,yuguan-zhaoshenju,yuguan,三停平等能和美官髙財足志多般,The three sections equal and able to be harmonious and beautiful; office high wealth sufficient aspirations manifold,卷下,詩曰 (adjacent to 鴿形),KR3g0044_WYG_003-13a,VERIFIED,VERIFIED,PINNED_COMMIT,VERIFIED_PRIMARY,base-text-verse,three-sections-predicate,true,REFUTES prior claim that 平等 is exclusive to the Shenxiang-quanbian/Mayi lineage; verse context; domain unspecified,PRODUCT_DECISION_REQUIRED,yg-j3-santing-pingdeng
five-forms-like-with-like-yuguan,fiveForms,DIRECTED_RELATION,elemental-form,outcome,directed,form resembles an element and obtains that same element,five like-with-like pairings each with one outcome,yuguan-zhaoshenju,yuguan,似金得金剛毅深似木得木資財阜似水得水文章貴似火得火兵機大似土得上多櫃庫,Resembling metal and obtaining metal: firm resolute deep. Wood: resources and wealth abundant. Water: literary distinction noble. Fire: military strategy great. Earth: many storehouses,卷上,呂洞賓賦,KR3g0044_WYG_001-4b,VERIFIED,VERIFIED,PINNED_COMMIT,VERIFIED_PRIMARY,base-text,none,true,exactly FIVE like-with-like pairs NOT a 5x5 grid; text reads 得上 for 得土; wealth rank and character predicates,PRODUCT_DECISION_REQUIRED,yg-j1-wuxingxing
five-forms-tolerance-yuguan,fiveForms,QUALIFICATION,elemental-form,form-predicate,directed,none,each element has a shape it does not object to,yuguan-zhaoshenju,yuguan,金不嫌方木不嫌痩水不嫌肥火不嫌尖土不嫌濁,Metal does not object to being square; wood to being lean; water to being stout; fire to being pointed; earth to being turbid,卷上,呂洞賓賦,KR3g0044_WYG_001-4b,VERIFIED,VERIFIED,PINNED_COMMIT,VERIFIED_PRIMARY,base-text,none,false,a tolerance rule not a classifier; must not be inverted into colour or shape typing,ELIGIBLE,yg-j1-wuxingxing
five-forms-verse-shenxiang,fiveForms,IDENTITY,fiveForms,five-element-shapes,none,none,wood thin metal square water fat earth thick fire narrow-top broad-base,shenxiang-quanbian,mayi,NOT_RETRIEVED,wood thin metal square water fat earth thick like a turtle-back top-pointed broad-base is fire,unknown,五行形,null,NOT_LOCATED,NOT_LOCATED,NO_INSPECTABLE_WITNESS,RECORDED_NOT_VERIFIED,ming,none,true,DOWNGRADED; no cleanly licensed machine-readable witness obtained,HISTORICAL_EVIDENCE_ONLY,
renlunfengjian-agrees-mountains,fiveMountains,IDENTITY,taiqing-fiveMountains,renlunfengjian-fiveMountains,none,none,the Renlun fengjian agrees with this Five Mountains passage,taiqing-shenjian,taiqing,(人倫風鑑同),(The Renlun fengjian agrees.),卷二,五嶽,KR3g0045_WYG_002-18a,VERIFIED,VERIFIED,PINNED_COMMIT,VERIFIED_PRIMARY,editorial-collation-note,none,false,collation note inside the base text; names a lost comparandum witness,ELIGIBLE,tq-j2-wuyue
renlunfengjian-agrees-rivers,fourRivers,IDENTITY,taiqing-fourRivers,renlunfengjian-fourRivers,none,none,the Renlun fengjian agrees with this Four Rivers passage,taiqing-shenjian,taiqing,(人倫風鑑同),(The Renlun fengjian agrees.),卷二,四瀆,KR3g0045_WYG_002-18b,VERIFIED,VERIFIED,PINNED_COMMIT,VERIFIED_PRIMARY,editorial-collation-note,none,false,second occurrence,ELIGIBLE,tq-j2-sidu
renlunfengjian-variant-witness-taiqing,sourceCriticism,SOURCE_CRITICISM_AGGREGATE,taiqing-shenjian,renlun-fengjian,none,none,the Renlun fengjian is cited sixteen times in juan one as a variant-reading witness,taiqing-shenjian,taiqing,(人倫風鑑云隂陽之氣氛氲) … (人倫風鑑洞𤣥經同) … (人倫風鑑千字文同),"(The Renlun fengjian reads: the qi of yin and yang, dense and swirling) … (The Renlun fengjian and the Dongxuan jing agree) … (The Renlun fengjian and the Qianziwen agree)",卷一,說歌/又歌,"KR3g0045_WYG_001-1a … 001-6a (16 separate interlinear notes; 2 pinned as passageIds, 14 not individually located)",VERIFIED,VERIFIED,PINNED_COMMIT,VERIFIED_SECONDARY,editorial-collation-note,none,false,E-9: was one VERIFIED_PRIMARY row with an ellipsis-composite quote over a 6-folio range. Downgraded to a source-criticism aggregate about the 太清 卷一 apparatus. Each individual note is verifiable; the composite is an editorial construction. Not a single located relation.,ELIGIBLE,tq-j1-shuoge-xiangcheng|tq-j1-sidu-cosmological
mountains-provinces-colour-yuebo,crossSystem,CORRESPONDENCE,facial-provinces,five-colours,none,colour appearing at a province,each of the nine provinces on the face carries a colour with an outcome,yuebo-dongzhongji,yuebo,雍州白色常潤冀州青黒色主酒色上亡兖州青紅色主吉昌青州青色吉豫州黄色吉,Yong province white colour constantly moist; Ji province blue-black governs death through wine and lust; Yan province blue-red governs auspiciousness; Qing province blue auspicious; Yu province yellow auspicious,卷下,九州 (sub-section at 002-10b; the 五嶽…所管屬者 heading governs the preceding similes passage),KR3g0043_WYG_002-10b,VERIFIED,VERIFIED,PINNED_COMMIT,VERIFIED_PRIMARY,base-text,none,true,E-9: section relabelled 九州. an EXPLICIT colour-to-facial-region relation in the pinned corpus; death predicate present; NOT a licence for modern colour measurement,PRODUCT_DECISION_REQUIRED,yb-j2-jiuzhou-colour
xunzi-allusion-taiqing,negativeCanonical,QUALIFICATION,taiqing-shenjian,xunzi-feixiang,directed,none,the text invokes the ancients' admonition on assessing the mind and choosing one's method,taiqing-shenjian,taiqing,此古人有論心擇術之戒也,This is the ancients' admonition on assessing the mind and choosing one's method,卷三,心術論,KR3g0045_WYG_003-1b,VERIFIED,VERIFIED,PINNED_COMMIT,VERIFIED_PRIMARY,base-text,none,false,NEW: 論心/擇術 is verbatim Xunzi Feixiang vocabulary; a physiognomy manual citing the classic critique of physiognomy,ELIGIBLE,tq-j3-lunxin-zeshu
xunzi-antiphysiognomy,negativeCanonical,CONTRAST,physiognomy,moral-choice,directed,none,reading the form is inferior to assessing the mind which is inferior to choosing one's method,xunzi-feixiang,none,相形不如論心論心不如擇術,Reading the form is not as good as assessing the mind; assessing the mind is not as good as choosing one's method,非相,非相,null,NOT_LOCATED,NOT_LOCATED,NOT_RETRIEVED_THIS_PASS,RECORDED_NOT_VERIFIED,warring-states,none,false,DOWNGRADED from VERIFIED_PRIMARY: not retrieved from an inspectable witness in this pass; carry as negative finding; pin against a ctext or Wikisource oldid before promoting,HISTORICAL_EVIDENCE_ONLY,
twelve-palaces-membership-taiqing,twelvePalaces,CONSTITUENT_MEMBERSHIP,twelvePalaces,eleven-named-palaces-plus-xiangmao,none,none,the face has Twelve Palaces: 命/財帛/兄弟/父母/男女/奴僕/妻妾/疾厄/遷移/官禄/福德 (11 named) + 相貌 as concluding summary; NO 田宅宮,heritage-twelve-palaces-taiqing,taiqing-yuguan,或曰面有十二宫印堂為命宫天倉地庫為財帛宫龍虎額角頭為兄弟宫日月角為父母宫三隂三陽為男女宫懸壁為奴僕宫魚尾為妻妾宫神光年夀為疾厄宫山林邊地為遷移宫正面為官禄宫精神地角福堂為福德宫相貌則總而言也,"One account holds the face has Twelve Palaces: seal-hall=Life, granaries/treasuries=Wealth, dragon-tiger/forehead-corners=Siblings, sun-moon horns=Parents, three-yin/three-yang=Children, hanging-wall=Servants, fish-tails=Spouse, spirit-light/year-longevity=Adversity, mountain-forest/border-land=Travel, frontal-plane=Office, essence-spirit/earth-corner/blessing-hall=Fortune; countenance is the whole",卷一,成和子統論,KR3g0045_WYG_001-17b,VERIFIED,VERIFIED,PINNED_COMMIT,VERIFIED_PRIMARY,base-text,twelve-palaces-constituents,true,"E-1: refutes the dossier's 十二宮=0. The system IS byte-pinned in the Siku corpus (太清 卷一). Distinct from the received-Mayi/神相全編 mapping (田宅宮, 財帛宮=nose), which stays unpinned/SOURCE_REQUIRED. 11 named palaces + 相貌; fortune-typed.",PRODUCT_DECISION_REQUIRED,tq-j1-shierdgong
xunzi-explicit-citation-taiqing,negativeCanonical,ATTRIBUTED_VARIANT,taiqing-shenjian,xunzi,directed,none,太清 卷三 attributes to 荀子 a maxim ranking heart above form and virtue above heart — but does NOT quote 荀子·非相 verbatim,xunzi-feixiang,taiqing-juan3-citation,荀子曰相形不如相心論心不如論徳,Xunzi says: reading the form is not as good as reading the heart; assessing the heart is not as good as assessing virtue,卷三,心術論,KR3g0045_WYG_003-2b,VERIFIED,VERIFIED,PINNED_COMMIT,VERIFIED_PRIMARY,base-text,,false,"E-2: the EXPLICIT 荀子曰 citation, separate object from the tq-j3-lunxin-zeshu allusion (003-1b) — do NOT cross-upgrade. VARIANT: 太清 reads 相心+論徳; 玉管 卷中 reads 相心+論擇術; received 非相 reads 論心+擇術. The manuals adapt Xunzi, they do not quote him.",ELIGIBLE,tq-j3-xunzi-explicit
